"gene"	"avg_log2fc"	"comb_adjpval"
"1"	"NME1"	-0.178192488130468	1
"2"	"RDN25-1"	0.11763126758956	1
"3"	"RDN58-1"	0.457233303725544	1
"4"	"RUF20"	-0.278834676150003	0.999999999087477
"5"	"RUF5-1"	-0.185540843315892	1
"6"	"snR10"	-0.427045961708787	0.999978639642304
"7"	"snR35"	-0.124511845358042	1
"8"	"snR42"	-0.142470726425823	1
"9"	"snR43"	-0.206947098077085	1
"10"	"snR45"	0.036143157416516	1
"11"	"snR5"	-0.115624968275082	1
"12"	"snR50"	0.0185391571679592	1
"13"	"snR60"	-0.142095877811311	0.999999999999956
"14"	"snR62"	-0.0338862280138345	1
"15"	"snR68"	-0.120745329045631	0.999999999999956
"16"	"snR77"	0.317500112577727	1
"17"	"snR8"	0.113790522846593	1
"18"	"snR80"	-0.212622877405511	1
"19"	"SRG1"	-0.0044504282810932	1
"20"	"YAL001C"	-0.0423348464976201	1
"21"	"YAL002W"	-0.054242864832199	1
"22"	"YAL003W"	1.5692158684503	3.13675054819385e-07
"23"	"YAL005C"	-0.267632657547791	1
"24"	"YAL007C"	-0.113025371697325	1
"25"	"YAL008W"	-0.0634025749954968	1
"26"	"YAL009W"	-0.0581117508204444	1
"27"	"YAL010C"	-0.0354587082587201	0.999999999999956
"28"	"YAL011W"	-0.142003158893558	1
"29"	"YAL012W"	0.123869949048293	1
"30"	"YAL013W"	0.164458799401872	1
"31"	"YAL015C"	0.0731427933880207	1
"32"	"YAL016W"	-0.504012508955906	0.999999999999956
"33"	"YAL017W"	0.0375388109876768	1
"34"	"YAL018C"	0.114400816749207	1
"35"	"YAL019W"	-0.181387475311994	1
"36"	"YAL020C"	-0.537427124052802	0.999999999087477
"37"	"YAL021C"	0.156955295740702	1
"38"	"YAL022C"	-0.194229284465255	1
"39"	"YAL023C"	-0.0938188929375792	1
"40"	"YAL024C"	0.67510467699084	1
"41"	"YAL025C"	0.171718098623309	1
"42"	"YAL026C"	0.00863051691882634	1
"43"	"YAL027W"	0.29206917648518	1
"44"	"YAL028W"	0.205020029234664	1
"45"	"YAL029C"	-0.101165511157427	1
"46"	"YAL030W"	0.202139681351831	1
"47"	"YAL032C"	0.0337981161455665	1
"48"	"YAL033W"	-0.254139829000128	1
"49"	"YAL034C"	-0.187361140110132	0.999999999087477
"50"	"YAL034W-A"	-0.0274374843413481	1
"51"	"YAL035W"	0.421624300174697	1
"52"	"YAL036C"	0.248601659897453	0.999978639642304
"53"	"YAL037C-A"	-0.273134077353879	1
"54"	"YAL037W"	-0.357468071534995	1
"55"	"YAL038W"	-0.435302203895559	1
"56"	"YAL039C"	0.332801142300081	1
"57"	"YAL040C"	0.0482122486525048	1
"58"	"YAL041W"	-0.0682395815635555	1
"59"	"YAL042W"	-0.00994936884225481	1
"60"	"YAL043C"	-0.437931202250929	0.999999999999956
"61"	"YAL044C"	-0.158730816139666	1
"62"	"YAL044W-A"	0.0492857272336448	1
"63"	"YAL046C"	0.0528891512041607	1
"64"	"YAL047C"	-0.0415856462452232	1
"65"	"YAL048C"	0.123443201663261	1
"66"	"YAL049C"	0.280146140792895	1
"67"	"YAL051W"	0.028090369048475	1
"68"	"YAL053W"	0.0724912793804041	1
"69"	"YAL054C"	-0.0345715500951116	1
"70"	"YAL055W"	0.332353362770922	1
"71"	"YAL056W"	0.203480398993097	1
"72"	"YAL058W"	0.171619918970639	1
"73"	"YAL059W"	0.144233390585499	1
"74"	"YAL060W"	-0.398492796508266	1
"75"	"YAL061W"	0.157467211702975	1
"76"	"YAL062W"	-0.0384190626246786	1
"77"	"YAL063C-A"	0.234524786082381	1
"78"	"YAL063C"	-0.158732283921644	1
"79"	"YAL064C-A"	-0.0450540565919975	1
"80"	"YAL064W-B"	-0.0128162499768152	1
"81"	"YAL064W"	0.130901549594043	1
"82"	"YAL065C"	-0.111241211625697	1
"83"	"YAL067C"	0.11451675847969	1
"84"	"YAL067W-A"	0.0402093990907215	1
"85"	"YAL068C"	0.0607517952261836	0.999978639642304
"86"	"YAR002C-A"	0.0305248552199896	1
"87"	"YAR002W"	-0.173204975114087	1
"88"	"YAR007C"	0.14649417446048	0.999999999999956
"89"	"YAR009C"	0.0190001829585734	1
"90"	"YAR010C"	0.297999799012669	1
"91"	"YAR014C"	0.332924483429985	1
"92"	"YAR015W"	0.161265686940415	1
"93"	"YAR018C"	0.244243606810873	1
"94"	"YAR019C"	-0.0161077416222127	1
"95"	"YAR020C"	-0.0142105639566683	1
"96"	"YAR023C"	0.165769408256123	1
"97"	"YAR027W"	0.223491173359989	1
"98"	"YAR028W"	-0.00942870978160587	1
"99"	"YAR029W"	0.0845572497958167	1
"100"	"YAR031W"	-0.238391251331957	1
"101"	"YAR033W"	0.160908901013425	1
"102"	"YAR035C-A"	-0.146566639776959	1
"103"	"YAR035W"	-0.225026336314034	1
"104"	"YAR042W"	0.2380233634672	0.999999999999956
"105"	"YAR050W"	0.146137364794417	1
"106"	"YAR064W"	-0.30237000622134	0.999999999087477
"107"	"YAR068W"	-0.202767571236004	1
"108"	"YAR071W"	-0.190039679234779	0.999999999999956
"109"	"YBL001C"	0.070368695005691	1
"110"	"YBL002W"	-0.255746216399133	1
"111"	"YBL003C"	-0.219475244215661	1
"112"	"YBL004W"	-0.0220960347202329	0.999999999999956
"113"	"YBL005W-A"	0.0300053722143124	1
"114"	"YBL005W"	0.125735706284146	1
"115"	"YBL006C"	-0.174833845698336	1
"116"	"YBL007C"	-0.142618634549627	1
"117"	"YBL008W-A"	-0.0259597469054207	1
"118"	"YBL008W"	0.149068174507835	1
"119"	"YBL009W"	-0.543683875967689	0.999999999087477
"120"	"YBL011W"	0.310055233897515	1
"121"	"YBL013W"	-0.0522640103775471	1
"122"	"YBL014C"	0.199188802945343	0.999999999999956
"123"	"YBL015W"	-0.0525118955570016	1
"124"	"YBL016W"	0.0628514125023743	1
"125"	"YBL017C"	-0.0812733109654164	1
"126"	"YBL018C"	0.0649569541931013	1
"127"	"YBL019W"	0.141696570725931	1
"128"	"YBL020W"	-0.104674173133828	1
"129"	"YBL022C"	-0.445988013644301	1
"130"	"YBL023C"	0.174615996320067	1
"131"	"YBL024W"	0.187517257976222	1
"132"	"YBL025W"	0.252952865834214	1
"133"	"YBL026W"	-0.0711717119988421	1
"134"	"YBL027W"	-0.120699835228982	1
"135"	"YBL028C"	-0.0774938571656063	1
"136"	"YBL029C-A"	-0.0950779863625125	1
"137"	"YBL029W"	0.109385936216517	1
"138"	"YBL030C"	0.000742119787929303	1
"139"	"YBL031W"	-0.0774027273614052	1
"140"	"YBL032W"	0.294806393199191	1
"141"	"YBL033C"	0.468883273592316	1
"142"	"YBL034C"	-0.308910422578622	1
"143"	"YBL035C"	0.0605304471740802	1
"144"	"YBL036C"	-0.0880504847281101	1
"145"	"YBL037W"	-0.229779610295675	1
"146"	"YBL038W"	0.166696958184377	1
"147"	"YBL039C"	-0.353500112370078	0.999999999999956
"148"	"YBL039W-B"	0.20565027267639	1
"149"	"YBL040C"	0.263892902267772	1
"150"	"YBL041W"	-0.0133132408095719	1
"151"	"YBL042C"	-0.0639308281202789	1
"152"	"YBL043W"	0.242143265546601	1
"153"	"YBL044W"	0.0962006018357126	1
"154"	"YBL045C"	0.24155020803485	1
"155"	"YBL046W"	-0.323674770824938	1
"156"	"YBL047C"	-0.0580832401392759	0.999978639642304
"157"	"YBL049W"	0.148797139689202	1
"158"	"YBL050W"	-0.335206114498679	1
"159"	"YBL051C"	0.184299500163682	1
"160"	"YBL052C"	-0.178386286606873	1
"161"	"YBL054W"	0.0866549639390326	1
"162"	"YBL055C"	0.113550751693262	1
"163"	"YBL056W"	0.049257124705681	1
"164"	"YBL057C"	-0.447627666377691	1
"165"	"YBL058W"	-0.1065775852981	1
"166"	"YBL059C-A"	0.247689970528295	1
"167"	"YBL059W"	0.550163673983752	1
"168"	"YBL060W"	0.0498720872966087	1
"169"	"YBL061C"	0.404423876136063	0.999999999999956
"170"	"YBL063W"	0.108734193263255	1
"171"	"YBL064C"	0.109604125580094	1
"172"	"YBL066C"	0.0893306504651598	1
"173"	"YBL068W"	0.138500763892507	1
"174"	"YBL069W"	0.186465209996392	1
"175"	"YBL071C-B"	0.0222704911699067	1
"176"	"YBL071C"	-0.610141316250907	1
"177"	"YBL071W-A"	0.178576142961676	1
"178"	"YBL072C"	-0.58135135714225	0.999999998582474
"179"	"YBL074C"	-0.266553833057647	1
"180"	"YBL075C"	0.255292121890413	1
"181"	"YBL076C"	-0.244757231774768	1
"182"	"YBL078C"	0.516357003154957	1
"183"	"YBL079W"	0.090464084246958	1
"184"	"YBL080C"	-0.250440371154206	1
"185"	"YBL081W"	-0.292091035250042	1
"186"	"YBL082C"	0.0116595791694421	1
"187"	"YBL084C"	0.10007553633028	1
"188"	"YBL085W"	0.0555722326977579	1
"189"	"YBL086C"	0.0534102098183968	1
"190"	"YBL087C"	-0.121064350100056	1
"191"	"YBL088C"	0.271204115773969	1
"192"	"YBL089W"	-0.259828298894956	1
"193"	"YBL090W"	-0.0152824090099994	1
"194"	"YBL091C-A"	-0.316433767791552	1
"195"	"YBL091C"	-0.0915748317892222	0.999999999999956
"196"	"YBL092W"	-0.450583870136229	1
"197"	"YBL093C"	-0.0421889394325294	1
"198"	"YBL095W"	0.213644425871495	1
"199"	"YBL097W"	-0.392731932166544	1
"200"	"YBL098W"	-0.0829667576944794	1
"201"	"YBL099W"	-0.163646826074311	1
"202"	"YBL100W-C"	-0.0210460582156362	1
"203"	"YBL101C"	0.212970934700282	1
"204"	"YBL102W"	0.129264652217028	1
"205"	"YBL104C"	0.218076537822241	1
"206"	"YBL105C"	-0.0636769415403734	1
"207"	"YBL106C"	0.574218994492616	1
"208"	"YBL107C"	0.352527900587857	1
"209"	"YBL108C-A"	-0.222719418537893	1
"210"	"YBL112C"	0.0571357861887008	0.999999999999956
"211"	"YBL113C"	-0.306231011177796	1
"212"	"YBR001C"	-0.0356362463518587	1
"213"	"YBR002C"	0.317685102642989	1
"214"	"YBR003W"	-0.107101293268499	1
"215"	"YBR004C"	-0.108975525826931	1
"216"	"YBR006W"	0.0868180231428145	1
"217"	"YBR007C"	-0.0262287402450051	1
"218"	"YBR008C"	0.0232538972442743	1
"219"	"YBR009C"	0.0525144592585789	1
"220"	"YBR010W"	0.501659691785986	1
"221"	"YBR011C"	0.218453904506195	1
"222"	"YBR012W-A"	0.0375630563573059	1
"223"	"YBR013C"	0.087117001924324	1
"224"	"YBR014C"	0.0846415981942439	1
"225"	"YBR015C"	-0.038180916726594	1
"226"	"YBR016W"	-0.13906090677268	1
"227"	"YBR017C"	0.176378825711161	1
"228"	"YBR018C"	-0.223520872494634	1
"229"	"YBR019C"	-0.297336401595104	1
"230"	"YBR020W"	-0.0314961531861658	1
"231"	"YBR021W"	0.0184346501413457	1
"232"	"YBR022W"	-0.0147203612224772	1
"233"	"YBR023C"	0.270689803873712	1
"234"	"YBR024W"	0.132540930685793	1
"235"	"YBR025C"	0.0786550236652756	1
"236"	"YBR026C"	0.0862970711940179	1
"237"	"YBR027C"	-0.110666856052757	1
"238"	"YBR028C"	0.196805639699949	1
"239"	"YBR029C"	-0.0215461497711197	1
"240"	"YBR030W"	0.066855237844124	1
"241"	"YBR031W"	0.0725875881052706	1
"242"	"YBR032W"	-0.192105372792984	1
"243"	"YBR033W"	-0.0685839379740919	1
"244"	"YBR034C"	-0.346997560410885	1
"245"	"YBR035C"	-0.149159431590298	1
"246"	"YBR036C"	-0.106323237563002	1
"247"	"YBR037C"	-0.405021039241468	1
"248"	"YBR038W"	0.0259060934394784	1
"249"	"YBR039W"	0.330466206635559	1
"250"	"YBR040W"	0.14829148351088	1
"251"	"YBR041W"	-0.265961529379026	1
"252"	"YBR042C"	0.0399962645960081	1
"253"	"YBR043C"	0.246809190525866	1
"254"	"YBR044C"	-0.236408046489685	1
"255"	"YBR045C"	0.202617133925194	1
"256"	"YBR046C"	-0.0356188467400037	1
"257"	"YBR047W"	0.538691065596421	0.999999999999956
"258"	"YBR048W"	-0.301735211023571	0.999999999999956
"259"	"YBR049C"	0.106279532780918	1
"260"	"YBR050C"	-0.0283044535097497	1
"261"	"YBR052C"	-0.0749152396109781	1
"262"	"YBR053C"	0.4578201290791	1
"263"	"YBR054W"	-0.0136159347902486	1
"264"	"YBR055C"	0.0052500608462171	1
"265"	"YBR056W-A"	0.114387367645045	1
"266"	"YBR056W"	0.326681549843632	1
"267"	"YBR057C"	0.0389041935498986	1
"268"	"YBR058C-A"	-0.219895448955127	1
"269"	"YBR058C"	0.0307844119036363	1
"270"	"YBR059C"	-0.0233473405818466	1
"271"	"YBR060C"	-0.100677644379536	1
"272"	"YBR061C"	0.668886305404179	0.999999999998542
"273"	"YBR062C"	0.0212941590685692	1
"274"	"YBR063C"	0.00320296094060502	1
"275"	"YBR065C"	-0.321500623448686	1
"276"	"YBR066C"	0.395447946781966	1
"277"	"YBR067C"	-0.10160066263076	1
"278"	"YBR068C"	0.0562656848504728	1
"279"	"YBR069C"	-0.0673639816720395	1
"280"	"YBR070C"	0.0751183878293914	1
"281"	"YBR071W"	-0.223744741641055	1
"282"	"YBR072C-A"	-0.0332092619596407	1
"283"	"YBR072W"	0.134442944506133	1
"284"	"YBR073W"	0.0597436466894578	1
"285"	"YBR074W"	-0.064945219857179	1
"286"	"YBR076W"	-0.0757917106585195	1
"287"	"YBR077C"	-0.0368853100049687	1
"288"	"YBR078W"	0.222938750459121	1
"289"	"YBR079C"	0.315135410238205	1
"290"	"YBR080C"	-1.48263626144125	0.671992347137579
"291"	"YBR081C"	0.166856471348521	1
"292"	"YBR082C"	0.404467613301333	1
"293"	"YBR083W"	0.0582707317620417	1
"294"	"YBR084C-A"	-0.33339523942809	1
"295"	"YBR084W"	-0.198080689834169	1
"296"	"YBR085C-A"	-0.057755744997343	1
"297"	"YBR085W"	-0.188349592496107	1
"298"	"YBR086C"	0.0430289904687331	1
"299"	"YBR087W"	-0.143384586652701	1
"300"	"YBR088C"	-0.392833704926322	1
"301"	"YBR089C-A"	-0.0864315193196294	1
"302"	"YBR090C"	-0.125502750843397	1
"303"	"YBR091C"	-0.149261805777376	1
"304"	"YBR092C"	-0.134613964521825	1
"305"	"YBR093C"	-0.339263220086387	1
"306"	"YBR094W"	0.263384484380475	1
"307"	"YBR095C"	-0.687353582707742	1
"308"	"YBR097W"	-0.362927794334609	1
"309"	"YBR098W"	-0.401626367952029	1
"310"	"YBR101C"	-0.0179430731881421	1
"311"	"YBR102C"	0.603206888080099	1
