"gene"	"avg_log2fc"	"comb_adjpval"
"22"	"YAL003W"	1.5692158684503	3.13675054819385e-07
"571"	"YCR012W"	2.94515049190396	0.00398012420855032
"1087"	"YDR211W"	2.2199682513639	0.000130097299901766
"1169"	"YDR300C"	1.54236140376924	0.00215474689493944
"1494"	"YER025W"	3.04034312676106	0.0149931269139482
"2051"	"YGR030C"	2.01466819455534	5.83744164117661e-12
"2413"	"YHR062C"	0.355292186862532	0.00657707572693089
"2647"	"YIL078W"	2.33659101320749	1.61071055609918e-05
"2788"	"YJL011C"	0.901130643445823	0.0106351800430745
"4512"	"YNL151C"	1.06587718290299	0.00132915575243953
"4597"	"YNL247W"	2.49517640802415	7.73905162176902e-10
"4889"	"YOL149W"	1.51343073962875	0.0314410727354842
"5016"	"YOR116C"	2.28134670514404	8.58471072007205e-11
"5098"	"YOR207C"	2.76403815807373	9.90955231094937e-07
"5561"	"YPR033C"	1.43293080948193	0.0197892975423147
"5697"	"YPR190C"	3.2981084715013	2.29694041564699e-11
